
ans：17{'r': 0.5, 'params': {'num_leaves': 61, 'verbose': 0, 'bagging_fraction': 0.8, 'metric': 'auc', 'min_data_in_leaf': 50, 'max_bin': 50, 'objective': 'binary', 'feature_fraction': 0.7, 'bagging_freq': 50, 'max_depth': 9, 'boosting_type': 'dart'}}
ans：17{'r': 0.5, 'params': {'num_leaves': 61, 'verbose': 0, 'bagging_fraction': 0.8, 'metric': 'auc', 'min_data_in_leaf': 50, 'max_bin': 50, 'objective': 'binary', 'feature_fraction': 0.7, 'bagging_freq': 50, 'max_depth': 9, 'boosting_type': 'dart'}}
ans：17{'r': 0.5, 'params': {'num_leaves': 61, 'verbose': 0, 'bagging_fraction': 0.8, 'metric': 'auc', 'min_data_in_leaf': 50, 'max_bin': 50, 'objective': 'binary', 'feature_fraction': 0.7, 'bagging_freq': 50, 'max_depth': 9, 'boosting_type': 'dart'}}
ans：17{'r': 0.5, 'params': {'num_leaves': 61, 'verbose': 0, 'bagging_fraction': 0.8, 'metric': 'auc', 'min_data_in_leaf': 50, 'max_bin': 50, 'objective': 'binary', 'feature_fraction': 0.7, 'bagging_freq': 50, 'max_depth': 9, 'boosting_type': 'dart'}}
ans：17{'r': 0.5, 'params': {'num_leaves': 61, 'verbose': 0, 'bagging_fraction': 0.8, 'metric': 'auc', 'min_data_in_leaf': 50, 'max_bin': 50, 'objective': 'binary', 'feature_fraction': 0.7, 'bagging_freq': 50, 'max_depth': 9, 'boosting_type': 'dart'}}
ans：13{'r': 1.5, 'params': {'num_leaves': 61, 'verbose': 0, 'bagging_fraction': 0.8, 'metric': 'auc', 'min_data_in_leaf': 50, 'max_bin': 100, 'objective': 'binary', 'feature_fraction': 0.7, 'bagging_freq': 50, 'max_depth': 6, 'boosting_type': 'dart'}}
ans：13{'r': 1.5, 'params': {'num_leaves': 61, 'verbose': 0, 'bagging_fraction': 0.8, 'metric': 'auc', 'min_data_in_leaf': 50, 'max_bin': 100, 'objective': 'binary', 'feature_fraction': 0.7, 'bagging_freq': 50, 'max_depth': 6, 'boosting_type': 'dart'}}
ans：20{'r': 1.2, 'params': {'num_leaves': 36, 'verbose': 0, 'bagging_fraction': 0.8, 'metric': 'auc', 'min_data_in_leaf': 50, 'max_bin': 100, 'objective': 'binary', 'feature_fraction': 0.7, 'bagging_freq': 50, 'max_depth': 9, 'boosting_type': 'dart'}}
ans：31{'r': 0.5, 'params': {'num_leaves': 54, 'verbose': 0, 'bagging_fraction': 0.8, 'metric': 'auc', 'min_data_in_leaf': 50, 'max_bin': 100, 'objective': 'binary', 'feature_fraction': 0.35, 'bagging_freq': 50, 'max_depth': 9, 'boosting_type': 'dart'}}
ans：33{'r': 1.5, 'params': {'num_leaves': 54, 'verbose': 0, 'bagging_fraction': 0.8, 'metric': 'auc', 'min_data_in_leaf': 50, 'max_bin': 100, 'objective': 'binary', 'feature_fraction': 0.315, 'bagging_freq': 50, 'max_depth': 9, 'boosting_type': 'dart'}}
ans：40{'r': 1.5, 'params': {'num_leaves': 54, 'verbose': 0, 'bagging_fraction': 0.8, 'metric': 'auc', 'min_data_in_leaf': 50, 'max_bin': 100, 'objective': 'binary', 'feature_fraction': 0.2835, 'bagging_freq': 50, 'max_depth': 9, 'boosting_type': 'dart'}}
